2018-01-09 09:12:15.405 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335403, lastWriteTime=1515460335405]
2018-01-09 09:12:15.405 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335403, lastWriteTime=1515460335404]
2018-01-09 09:12:15.409 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335407, lastWriteTime=1515460335409]
2018-01-09 09:12:15.412 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335410, lastWriteTime=1515460335412]
2018-01-09 09:12:15.413 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335412, lastWriteTime=1515460335413]
2018-01-09 09:12:15.418 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335416, lastWriteTime=1515460335418]
2018-01-09 09:12:15.420 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335417, lastWriteTime=1515460335420]
2018-01-09 09:12:15.425 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335424, lastWriteTime=1515460335425]
2018-01-09 09:12:15.426 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335425, lastWriteTime=1515460335426]
2018-01-09 09:12:15.428 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460335427, lastWriteTime=1515460335428]
2018-01-09 09:13:14.503 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394501, lastWriteTime=1515460394503]
2018-01-09 09:13:14.503 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394500, lastWriteTime=1515460394503]
2018-01-09 09:13:14.503 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394501, lastWriteTime=1515460394503]
2018-01-09 09:13:14.506 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394505, lastWriteTime=1515460394506]
2018-01-09 09:13:14.509 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394506, lastWriteTime=1515460394509]
2018-01-09 09:13:14.510 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394508, lastWriteTime=1515460394510]
2018-01-09 09:13:14.513 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460394511, lastWriteTime=1515460394513]
